v: 90610, parent: 22101, key: 0.031900
v: 33786, parent: 90610, key: 0.044600
v: 26677, parent: 53459, key: 0.045200
v: 86862, parent: 90610, key: 0.053100
v: 92255, parent: 86862, key: 0.019900
v: 44617, parent: 86862, key: 0.023400
v: 81110, parent: 86862, key: 0.036000
v: 43477, parent: 26677, key: 0.065200
v: 11915, parent: 43477, key: 0.010200
v: 62094, parent: 90610, key: 0.082900
v: 7768, parent: 86862, key: 0.083900
v: 88049, parent: 7768, key: 0.015400
v: 64754, parent: 88049, key: 0.005500
v: 73751, parent: 64754, key: 0.023900
v: 43606, parent: 73751, key: 0.038300
v: 42346, parent: 88049, key: 0.065300
v: 61939, parent: 42346, key: 0.060700
v: 97741, parent: 11915, key: 0.084300
v: 81212, parent: 97741, key: 0.046300
v: 37421, parent: 97741, key: 0.053100
v: 96034, parent: 37421, key: 0.016500
v: 56159, parent: 37421, key: 0.083600
v: 23495, parent: 43477, key: 0.084500
v: 1689, parent: 23495, key: 0.011000
v: 42625, parent: 1689, key: 0.029000
v: 16837, parent: 23495, key: 0.031600
v: 69162, parent: 42625, key: 0.038800
v: 16698, parent: 16837, key: 0.079400
v: 17303, parent: 16698, key: 0.077300
v: 77380, parent: 86411, key: 0.085900
v: 65436, parent: 77380, key: 0.076700
v: 15429, parent: 64754, key: 0.087300
v: 54070, parent: 15429, key: 0.073700
v: 68184, parent: 54070, key: 0.058400
v: 10409, parent: 68184, key: 0.055600
v: 81085, parent: 68184, key: 0.056900
v: 55782, parent: 81085, key: 0.042700
v: 13848, parent: 68184, key: 0.074400
v: 84743, parent: 13848, key: 0.023000
v: 45043, parent: 84743, key: 0.086600
v: 32342, parent: 45043, key: 0.013800
v: 93216, parent: 32342, key: 0.018800
v: 48785, parent: 37421, key: 0.089000
v: 73003, parent: 48785, key: 0.086800
v: 25980, parent: 73003, key: 0.006100
v: 10945, parent: 25980, key: 0.016700
v: 99602, parent: 73003, key: 0.049600
v: 52666, parent: 25980, key: 0.082200
v: 74946, parent: 52666, key: 0.066000
v: 5117, parent: 74946, key: 0.051900
v: 39570, parent: 74946, key: 0.069300
v: 98364, parent: 73751, key: 0.089900
v: 39460, parent: 86411, key: 0.090500
v: 55417, parent: 39460, key: 0.047700
v: 60359, parent: 39460, key: 0.069900
v: 70686, parent: 7768, key: 0.090800
v: 71583, parent: 90978, key: 0.092100
v: 37852, parent: 7768, key: 0.093100
v: 59485, parent: 25980, key: 0.093300
v: 95530, parent: 7768, key: 0.095500
v: 9163, parent: 95530, key: 0.006000
v: 81809, parent: 95530, key: 0.034000
v: 81335, parent: 81809, key: 0.075300
v: 54944, parent: 81335, key: 0.011900
v: 16854, parent: 54944, key: 0.058700
v: 12031, parent: 16854, key: 0.048500
v: 21234, parent: 54944, key: 0.078600
v: 2137, parent: 16854, key: 0.081100
v: 14472, parent: 23495, key: 0.095900
v: 41797, parent: 14472, key: 0.052300
v: 6192, parent: 41797, key: 0.002900
v: 15987, parent: 41797, key: 0.065400
v: 55207, parent: 15987, key: 0.066700
v: 36964, parent: 55207, key: 0.012900
v: 91904, parent: 25980, key: 0.096100
v: 8851, parent: 91904, key: 0.018700
v: 71703, parent: 91904, key: 0.073700
v: 12045, parent: 71703, key: 0.025100
v: 82281, parent: 71703, key: 0.060600
v: 13622, parent: 82281, key: 0.045700
v: 50541, parent: 12045, key: 0.061500
v: 104, parent: 82281, key: 0.069600
v: 64404, parent: 104, key: 0.038800
v: 24120, parent: 104, key: 0.073800
v: 25117, parent: 24120, key: 0.005000
v: 341, parent: 82281, key: 0.096100
v: 79373, parent: 97240, key: 0.097100
v: 88269, parent: 79373, key: 0.096300
v: 9033, parent: 12031, key: 0.097800
v: 12526, parent: 9033, key: 0.010800
v: 26977, parent: 15429, key: 0.098000
v: 86676, parent: 26977, key: 0.016700
v: 87871, parent: 86676, key: 0.027000
v: 40721, parent: 25117, key: 0.098400
v: 47196, parent: 10409, key: 0.100000
v: 89169, parent: 69162, key: 0.102500
v: 37610, parent: 89169, key: 0.016200
v: 82015, parent: 89169, key: 0.021100
v: 49089, parent: 89169, key: 0.027900
v: 43854, parent: 49089, key: 0.066700
v: 99182, parent: 43854, key: 0.005200
v: 70197, parent: 99182, key: 0.009000
v: 83336, parent: 70197, key: 0.046500
v: 91114, parent: 83336, key: 0.028600
v: 8583, parent: 83336, key: 0.068800
v: 32176, parent: 8583, key: 0.053600
v: 40065, parent: 32176, key: 0.001700
v: 22536, parent: 40065, key: 0.012000
v: 96312, parent: 32176, key: 0.024100
v: 69636, parent: 96312, key: 0.009100
v: 65855, parent: 96312, key: 0.029200
v: 20494, parent: 69636, key: 0.032000
v: 16129, parent: 65855, key: 0.065300
v: 97586, parent: 22536, key: 0.072700
v: 53780, parent: 97586, key: 0.019700
v: 76678, parent: 53780, key: 0.077500
v: 24979, parent: 8583, key: 0.085800
v: 48125, parent: 24979, key: 0.080900
v: 36340, parent: 48125, key: 0.042800
v: 72629, parent: 36340, key: 0.025900
v: 87111, parent: 72629, key: 0.015900
v: 63652, parent: 36340, key: 0.068100
v: 45053, parent: 63652, key: 0.033600
v: 70402, parent: 63652, key: 0.078100
v: 34166, parent: 70402, key: 0.024200
v: 74766, parent: 63652, key: 0.087000
v: 52501, parent: 74766, key: 0.037200
v: 92737, parent: 52501, key: 0.012500
v: 12069, parent: 92737, key: 0.003700
v: 54619, parent: 74766, key: 0.047100
v: 31673, parent: 54619, key: 0.020500
v: 77200, parent: 31673, key: 0.055900
v: 36586, parent: 77200, key: 0.051100
v: 45890, parent: 54619, key: 0.073000
v: 95439, parent: 74766, key: 0.074400
v: 20682, parent: 95439, key: 0.035600
v: 68610, parent: 95439, key: 0.040600
v: 83004, parent: 95439, key: 0.051500
v: 62185, parent: 20682, key: 0.053400
v: 20238, parent: 62185, key: 0.024500
v: 39740, parent: 20238, key: 0.009500
v: 72344, parent: 39740, key: 0.036200
v: 89315, parent: 20238, key: 0.042000
v: 4763, parent: 92737, key: 0.075700
v: 13263, parent: 52501, key: 0.077000
v: 35951, parent: 13263, key: 0.003100
v: 43077, parent: 35951, key: 0.010500
v: 59729, parent: 43077, key: 0.003500
v: 20603, parent: 59729, key: 0.001300
v: 90430, parent: 20603, key: 0.023600
v: 6459, parent: 90430, key: 0.005900
v: 29063, parent: 35951, key: 0.029200
v: 27048, parent: 35951, key: 0.031100
v: 8455, parent: 59729, key: 0.046600
v: 51924, parent: 13263, key: 0.048600
v: 3178, parent: 35951, key: 0.067200
v: 72725, parent: 3178, key: 0.046100
v: 54383, parent: 8455, key: 0.074500
v: 84760, parent: 74766, key: 0.081000
v: 52749, parent: 84760, key: 0.005700
v: 76472, parent: 3178, key: 0.082200
v: 52716, parent: 52749, key: 0.085200
v: 21344, parent: 20238, key: 0.091600
v: 54488, parent: 21344, key: 0.046700
v: 76070, parent: 54488, key: 0.039800
v: 29610, parent: 21344, key: 0.073800
v: 67917, parent: 76070, key: 0.087800
v: 33092, parent: 67917, key: 0.013700
v: 9512, parent: 33092, key: 0.051500
v: 58317, parent: 67917, key: 0.057200
v: 71525, parent: 58317, key: 0.065100
v: 71678, parent: 58317, key: 0.068200
v: 571, parent: 71678, key: 0.045200
v: 51733, parent: 571, key: 0.065600
v: 54684, parent: 52501, key: 0.091800
v: 86076, parent: 54684, key: 0.007900
v: 67987, parent: 86076, key: 0.031200
v: 88836, parent: 67987, key: 0.000000
v: 1192, parent: 88836, key: 0.033800
v: 72462, parent: 86076, key: 0.035100
v: 98208, parent: 72462, key: 0.020200
v: 5416, parent: 54684, key: 0.054900
v: 99424, parent: 45053, key: 0.092000
v: 31172, parent: 99424, key: 0.000100
v: 23967, parent: 99424, key: 0.035700
v: 91190, parent: 23967, key: 0.065900
v: 3539, parent: 43854, key: 0.092600
v: 78221, parent: 70402, key: 0.092900
v: 48692, parent: 78221, key: 0.054300
v: 2993, parent: 48692, key: 0.043600
v: 37359, parent: 2993, key: 0.027900
v: 51712, parent: 78221, key: 0.074700
v: 56409, parent: 51712, key: 0.003400
v: 13113, parent: 56409, key: 0.021200
v: 7457, parent: 89169, key: 0.093700
v: 79975, parent: 40065, key: 0.094100
v: 76591, parent: 88836, key: 0.095300
v: 48999, parent: 76591, key: 0.024100
v: 15450, parent: 48999, key: 0.083400
v: 91297, parent: 76591, key: 0.092800
v: 68191, parent: 54383, key: 0.095800
v: 58141, parent: 68191, key: 0.087900
v: 81618, parent: 58141, key: 0.038800
v: 90846, parent: 58141, key: 0.072200
v: 25805, parent: 59729, key: 0.097600
v: 20468, parent: 25805, key: 0.053600
v: 46155, parent: 70402, key: 0.097700
v: 8541, parent: 46155, key: 0.060900
v: 27272, parent: 8541, key: 0.007300
v: 59317, parent: 27272, key: 0.035200
v: 97441, parent: 48692, key: 0.099800
v: 77596, parent: 97441, key: 0.053200
v: 99266, parent: 77596, key: 0.090200
v: 52878, parent: 99266, key: 0.054300
v: 88941, parent: 52878, key: 0.046900
v: 82399, parent: 99266, key: 0.057300
v: 88706, parent: 82399, key: 0.019800
v: 89969, parent: 88706, key: 0.070600
v: 87509, parent: 89969, key: 0.009200
v: 48701, parent: 87509, key: 0.000500
v: 11848, parent: 48701, key: 0.068400
v: 61183, parent: 11848, key: 0.018000
v: 67977, parent: 87509, key: 0.075900
v: 7649, parent: 67977, key: 0.051100
v: 36694, parent: 7649, key: 0.017100
v: 80285, parent: 52878, key: 0.076400
v: 13737, parent: 67977, key: 0.083400
v: 19222, parent: 65855, key: 0.100900
v: 21953, parent: 76591, key: 0.101900
v: 56552, parent: 21953, key: 0.023600
v: 93437, parent: 21953, key: 0.040500
v: 41274, parent: 93437, key: 0.040300
v: 92741, parent: 56552, key: 0.040600
v: 24149, parent: 92741, key: 0.029100
v: 38233, parent: 41274, key: 0.071200
v: 46868, parent: 93437, key: 0.096600
v: 77461, parent: 68191, key: 0.102600
v: 33342, parent: 72725, key: 0.102900
v: 23862, parent: 33342, key: 0.075400
v: 11376, parent: 23862, key: 0.089100
v: 72237, parent: 11376, key: 0.036900
v: 42801, parent: 11376, key: 0.065400
v: 95758, parent: 42801, key: 0.028400
v: 80587, parent: 95758, key: 0.013300
v: 77030, parent: 42801, key: 0.050000
v: 58472, parent: 77030, key: 0.097900
v: 19161, parent: 95758, key: 0.102800
v: 87998, parent: 19161, key: 0.038700
v: 31665, parent: 87998, key: 0.023500
v: 49424, parent: 31665, key: 0.005100
v: 4235, parent: 31665, key: 0.036900
v: 44373, parent: 19161, key: 0.077200
v: 86293, parent: 87998, key: 0.078700
v: 71855, parent: 86293, key: 0.096700
v: 77204, parent: 86293, key: 0.100100
v: 29040, parent: 43077, key: 0.103100
v: 95346, parent: 49424, key: 0.103200
v: 47473, parent: 95346, key: 0.058600
v: 99647, parent: 47473, key: 0.061500
v: 84504, parent: 95346, key: 0.074600
v: 96123, parent: 84504, key: 0.069100
v: 69069, parent: 96123, key: 0.056900
v: 85483, parent: 69069, key: 0.076100
v: 21780, parent: 35951, key: 0.103700
v: 49388, parent: 21780, key: 0.093400
v: 56253, parent: 81110, key: 0.103800
v: 75653, parent: 48999, key: 0.104200
v: 87622, parent: 75653, key: 0.017500
v: 40673, parent: 75653, key: 0.020000
v: 38841, parent: 87622, key: 0.056100
v: 27453, parent: 75653, key: 0.094000
v: 30953, parent: 27453, key: 0.077900
v: 69802, parent: 27453, key: 0.090600
v: 60452, parent: 39740, key: 0.104500
v: 87075, parent: 60452, key: 0.081800
v: 82960, parent: 87075, key: 0.080700
v: 14348, parent: 82960, key: 0.102700
v: 11327, parent: 14348, key: 0.049300
v: 64935, parent: 11327, key: 0.012500
v: 63475, parent: 64935, key: 0.016300
v: 98007, parent: 11327, key: 0.040800
v: 10140, parent: 14348, key: 0.063100
v: 23493, parent: 11327, key: 0.065000
v: 70970, parent: 11327, key: 0.066400
v: 81027, parent: 70970, key: 0.013100
v: 22333, parent: 81027, key: 0.049500
v: 85645, parent: 70970, key: 0.052200
v: 45929, parent: 85645, key: 0.072000
v: 99484, parent: 45929, key: 0.052800
v: 98326, parent: 99484, key: 0.015800
v: 39348, parent: 99484, key: 0.020100
v: 73118, parent: 99484, key: 0.044900
v: 82087, parent: 73118, key: 0.073800
v: 75202, parent: 82087, key: 0.013000
v: 25720, parent: 82087, key: 0.048700
v: 53219, parent: 85645, key: 0.079800
v: 87225, parent: 99484, key: 0.090000
v: 12324, parent: 87225, key: 0.020600
v: 99534, parent: 12324, key: 0.049500
v: 88086, parent: 12324, key: 0.092600
v: 12460, parent: 98326, key: 0.094700
v: 6368, parent: 12460, key: 0.050100
v: 4607, parent: 6368, key: 0.028500
v: 94895, parent: 70970, key: 0.097700
v: 37521, parent: 94895, key: 0.086700
v: 98234, parent: 94895, key: 0.087200
v: 14514, parent: 98234, key: 0.049600
v: 95064, parent: 98234, key: 0.054600
v: 98401, parent: 95064, key: 0.025400
v: 17685, parent: 98234, key: 0.081000
v: 47879, parent: 14514, key: 0.087000
v: 6007, parent: 37521, key: 0.090800
v: 85838, parent: 6007, key: 0.024200
v: 71600, parent: 85838, key: 0.070100
v: 23059, parent: 6007, key: 0.089000
v: 2022, parent: 23059, key: 0.011500
v: 89876, parent: 2022, key: 0.009000
v: 17753, parent: 23059, key: 0.023000
v: 10045, parent: 2022, key: 0.044800
v: 25443, parent: 23059, key: 0.081600
v: 60072, parent: 25443, key: 0.081700
v: 13488, parent: 94895, key: 0.094400
v: 6738, parent: 13488, key: 0.049700
v: 70283, parent: 6738, key: 0.069700
v: 13566, parent: 70283, key: 0.052800
v: 94888, parent: 13566, key: 0.075400
v: 56863, parent: 70283, key: 0.077200
v: 32921, parent: 56863, key: 0.047800
v: 4098, parent: 32921, key: 0.078000
v: 9871, parent: 4098, key: 0.046000
v: 21543, parent: 9871, key: 0.066500
v: 18402, parent: 4098, key: 0.088800
v: 91057, parent: 17753, key: 0.095600
v: 78532, parent: 91057, key: 0.093100
v: 81252, parent: 78532, key: 0.010000
v: 58548, parent: 81252, key: 0.026700
v: 14237, parent: 81252, key: 0.029600
v: 73107, parent: 58548, key: 0.079300
v: 50980, parent: 64935, key: 0.100500
v: 14258, parent: 98007, key: 0.100600
v: 91161, parent: 18402, key: 0.100700
v: 16638, parent: 73118, key: 0.101100
v: 86435, parent: 16638, key: 0.044000
v: 15901, parent: 86435, key: 0.019000
v: 85106, parent: 15901, key: 0.005400
v: 98911, parent: 85106, key: 0.014300
v: 91386, parent: 15901, key: 0.032400
v: 64513, parent: 98911, key: 0.047100
v: 97904, parent: 16638, key: 0.052300
v: 69262, parent: 91386, key: 0.066400
v: 64149, parent: 69262, key: 0.015500
v: 54131, parent: 64149, key: 0.058700
v: 26776, parent: 91386, key: 0.069900
v: 43662, parent: 64149, key: 0.071800
v: 39539, parent: 26776, key: 0.082600
v: 15617, parent: 39539, key: 0.031200
v: 31741, parent: 15617, key: 0.043500
v: 45635, parent: 31741, key: 0.015700
v: 9072, parent: 45635, key: 0.042900
v: 35620, parent: 64149, key: 0.083400
v: 80374, parent: 35620, key: 0.070500
v: 52530, parent: 80374, key: 0.021500
v: 36865, parent: 64149, key: 0.084100
v: 13142, parent: 43662, key: 0.094400
v: 69314, parent: 13142, key: 0.066500
v: 46372, parent: 69314, key: 0.016100
v: 78215, parent: 69314, key: 0.044000
v: 11739, parent: 78215, key: 0.007500
v: 22625, parent: 78215, key: 0.033800
v: 76320, parent: 69314, key: 0.075600
v: 369, parent: 76320, key: 0.055700
v: 30145, parent: 369, key: 0.024200
v: 33669, parent: 30145, key: 0.071500
v: 89376, parent: 22625, key: 0.076600
v: 84393, parent: 89376, key: 0.081600
v: 39219, parent: 84393, key: 0.012700
v: 19338, parent: 39219, key: 0.063400
v: 4241, parent: 46372, key: 0.086900
v: 65471, parent: 76320, key: 0.088500
v: 14151, parent: 65471, key: 0.024600
v: 9638, parent: 14151, key: 0.044500
v: 60235, parent: 14151, key: 0.078600
v: 17301, parent: 60235, key: 0.074800
v: 93673, parent: 65471, key: 0.088300
v: 74989, parent: 93673, key: 0.001800
v: 42393, parent: 74989, key: 0.080300
v: 91967, parent: 42393, key: 0.018700
v: 65265, parent: 85106, key: 0.097000
v: 69740, parent: 54131, key: 0.097800
v: 62191, parent: 69740, key: 0.004000
v: 84501, parent: 62191, key: 0.085800
v: 38677, parent: 26776, key: 0.100700
v: 33012, parent: 38677, key: 0.051500
v: 14141, parent: 33012, key: 0.007300
v: 13365, parent: 14141, key: 0.025800
v: 55241, parent: 13365, key: 0.006200
v: 85769, parent: 13365, key: 0.030600
v: 4111, parent: 85769, key: 0.004400
v: 40892, parent: 4111, key: 0.016900
v: 12842, parent: 14141, key: 0.053900
v: 10692, parent: 85769, key: 0.061200
v: 72042, parent: 10692, key: 0.006400
v: 91850, parent: 10692, key: 0.007200
v: 57386, parent: 72042, key: 0.011200
v: 60817, parent: 57386, key: 0.011700
v: 44314, parent: 91850, key: 0.038600
v: 67549, parent: 91850, key: 0.044800
v: 34901, parent: 67549, key: 0.007600
v: 75001, parent: 34901, key: 0.033600
v: 92457, parent: 67549, key: 0.034400
v: 95046, parent: 92457, key: 0.030100
v: 82570, parent: 92457, key: 0.046200
v: 61439, parent: 85769, key: 0.061200
v: 11593, parent: 61439, key: 0.001800
v: 55533, parent: 61439, key: 0.017500
v: 30431, parent: 75001, key: 0.077100
v: 58634, parent: 30431, key: 0.029400
v: 14643, parent: 55241, key: 0.081500
v: 25222, parent: 14643, key: 0.024800
v: 38288, parent: 14643, key: 0.030100
v: 74695, parent: 14643, key: 0.044100
v: 84955, parent: 14643, key: 0.052200
v: 86414, parent: 14643, key: 0.071800
v: 64339, parent: 86414, key: 0.019800
v: 1562, parent: 86414, key: 0.035800
v: 89287, parent: 1562, key: 0.030700
v: 22289, parent: 1562, key: 0.037100
v: 42126, parent: 64339, key: 0.040700
v: 38889, parent: 22289, key: 0.042600
v: 64488, parent: 38889, key: 0.013400
v: 45685, parent: 42126, key: 0.043500
v: 40150, parent: 86414, key: 0.046700
v: 73417, parent: 40150, key: 0.000100
v: 17951, parent: 40150, key: 0.006200
v: 54895, parent: 45685, key: 0.048200
v: 26596, parent: 64339, key: 0.064300
v: 77346, parent: 38889, key: 0.074800
