v: 99565, parent: 54784, key: 0.273000
v: 68651, parent: 43808, key: 0.276100
v: 76515, parent: 68651, key: 0.024600
v: 48808, parent: 68651, key: 0.090400
v: 47340, parent: 68651, key: 0.092900
v: 13231, parent: 47340, key: 0.030900
v: 42260, parent: 47340, key: 0.043100
v: 11147, parent: 13231, key: 0.055600
v: 75223, parent: 76515, key: 0.098500
v: 34777, parent: 13231, key: 0.127800
v: 10952, parent: 34777, key: 0.204200
v: 62091, parent: 10952, key: 0.049200
v: 78710, parent: 62091, key: 0.048900
v: 20414, parent: 62091, key: 0.066400
v: 32889, parent: 42260, key: 0.205000
v: 85486, parent: 13231, key: 0.229900
v: 51263, parent: 68651, key: 0.269900
v: 33084, parent: 51263, key: 0.041000
v: 47999, parent: 33084, key: 0.161000
v: 38236, parent: 47999, key: 0.087200
v: 97909, parent: 38236, key: 0.233400
v: 59005, parent: 97909, key: 0.027000
v: 75299, parent: 97909, key: 0.087300
v: 61654, parent: 59005, key: 0.143700
v: 26504, parent: 61654, key: 0.143400
v: 46035, parent: 75299, key: 0.167800
v: 50066, parent: 61654, key: 0.217200
v: 10628, parent: 50066, key: 0.082300
v: 28644, parent: 10628, key: 0.126200
v: 74314, parent: 50066, key: 0.198500
v: 15027, parent: 10628, key: 0.211000
v: 84742, parent: 59005, key: 0.232800
v: 16317, parent: 15027, key: 0.244700
v: 45225, parent: 16317, key: 0.170500
v: 33690, parent: 45225, key: 0.002000
v: 12497, parent: 45225, key: 0.103900
v: 51895, parent: 12497, key: 0.191500
v: 63086, parent: 51895, key: 0.128400
v: 87075, parent: 45225, key: 0.223200
v: 24139, parent: 50066, key: 0.244900
v: 20441, parent: 24139, key: 0.004400
v: 70316, parent: 50066, key: 0.268800
v: 96338, parent: 50066, key: 0.279300
v: 42185, parent: 74193, key: 0.279500
v: 76670, parent: 42185, key: 0.166600
v: 22117, parent: 76670, key: 0.194000
v: 73567, parent: 74193, key: 0.285200
v: 61221, parent: 97909, key: 0.287100
v: 16735, parent: 61221, key: 0.075900
v: 55894, parent: 61221, key: 0.213500
v: 14636, parent: 55894, key: 0.061000
v: 46759, parent: 16735, key: 0.257400
v: 60475, parent: 46759, key: 0.019900
v: 90820, parent: 46759, key: 0.137200
v: 98059, parent: 55894, key: 0.271700
v: 79110, parent: 98059, key: 0.106200
v: 65797, parent: 98059, key: 0.145700
v: 82951, parent: 20414, key: 0.290300
v: 51481, parent: 82951, key: 0.168400
v: 86100, parent: 42185, key: 0.292200
v: 92905, parent: 86100, key: 0.071300
v: 13026, parent: 92905, key: 0.106300
v: 40158, parent: 13026, key: 0.030500
v: 58805, parent: 40158, key: 0.004800
v: 45927, parent: 13026, key: 0.124000
v: 51220, parent: 59701, key: 0.293600
v: 46603, parent: 51220, key: 0.040100
v: 21900, parent: 51220, key: 0.182300
v: 2588, parent: 51220, key: 0.269000
v: 95927, parent: 2588, key: 0.122400
v: 37547, parent: 75223, key: 0.294300
v: 27777, parent: 37547, key: 0.085500
v: 86793, parent: 37547, key: 0.195400
v: 36474, parent: 37547, key: 0.262800
v: 88759, parent: 36474, key: 0.160400
v: 69854, parent: 88759, key: 0.224100
v: 46074, parent: 36474, key: 0.235600
v: 8822, parent: 46074, key: 0.229600
v: 99803, parent: 95927, key: 0.299000
v: 50736, parent: 25390, key: 0.301500
v: 34408, parent: 697, key: 0.302200
v: 88313, parent: 34408, key: 0.042300
v: 23698, parent: 88313, key: 0.046900
v: 47510, parent: 34408, key: 0.050000
v: 40128, parent: 23698, key: 0.072400
v: 38652, parent: 40128, key: 0.211500
v: 90979, parent: 38652, key: 0.072800
v: 42273, parent: 90979, key: 0.080700
v: 51685, parent: 90979, key: 0.138100
v: 71821, parent: 88313, key: 0.227000
v: 43233, parent: 71821, key: 0.123000
v: 84141, parent: 43233, key: 0.033500
v: 10019, parent: 84141, key: 0.109400
v: 47432, parent: 47999, key: 0.304500
v: 9783, parent: 47432, key: 0.093300
v: 45394, parent: 47432, key: 0.255400
v: 93150, parent: 88759, key: 0.305900
v: 66427, parent: 93150, key: 0.233700
v: 20790, parent: 66427, key: 0.031900
v: 18817, parent: 66427, key: 0.237500
v: 9554, parent: 18817, key: 0.037000
v: 55016, parent: 18817, key: 0.208800
v: 84914, parent: 9554, key: 0.215200
v: 8878, parent: 84914, key: 0.006300
v: 99243, parent: 8878, key: 0.027200
v: 11525, parent: 84914, key: 0.029300
v: 98973, parent: 11525, key: 0.042400
v: 6022, parent: 84914, key: 0.137900
v: 39595, parent: 9554, key: 0.241600
v: 41533, parent: 39595, key: 0.111000
v: 45442, parent: 41533, key: 0.093200
v: 15874, parent: 45442, key: 0.112100
v: 89907, parent: 20790, key: 0.250000
v: 41544, parent: 41533, key: 0.278300
v: 39655, parent: 41544, key: 0.048100
v: 84592, parent: 39655, key: 0.044600
v: 55267, parent: 84592, key: 0.004800
v: 74249, parent: 41544, key: 0.074300
v: 32547, parent: 55267, key: 0.100300
v: 58103, parent: 74249, key: 0.151800
v: 17645, parent: 58103, key: 0.051200
v: 3511, parent: 58103, key: 0.129500
v: 70058, parent: 3511, key: 0.103900
v: 5488, parent: 58103, key: 0.195500
